English,Hindi,Marathi,Sanskrit
Medicine,दवा,औषध,औषध
Doctor,डॉक्टर,डॉक्टर,वैद्य
Hospital,अस्पताल,रुग्णालय,आश्रयशाला
Nurse,नर्स,नर्स,सेविका
Patient,मरीज़,रुग्ण,रोगी
Pharmacy,फार्मेसी,फार्मसी,औषधालय
Surgery,सर्जरी,शस्त्रक्रिया,शस्त्रक्रिया
Treatment,उपचार,उपचार,चिकित्सा
Diagnosis,निदान,निदान,निदान
Prescription,नुस्खा,नुस्खा,आदेशपत्र
Injection,इंजेक्शन,इंजेक्शन,सुई
Vaccine,टीका,लस,प्रतिरक्षण
Pain,दर्द,दुख,वेदना
Fever,बुखार,ताप,ज्वर
Infection,संक्रमण,संक्रमण,संक्रांति
Blood,खून,रक्त,रक्त
Heart,हृदय,हृदय,हृदय
Lung,फेफड़ा,फुफ्फुस,प्राणपिंड
Kidney,किडनी,मूत्रपिंड,वृक्क
Liver,जिगर,यकृत,यकृत
Allergy,एलर्जी,अॅलर्जी,अलिंगी
Antibiotic,एंटीबायोटिक,अँटीबायोटिक,प्रतिजैवाणु
Painkiller,दर्द निवारक,दुखनिवारक,वेदनानिवारक
Blood Pressure,रक्तचाप,रक्तदाब,रक्तस्यम
Diabetes,मधुमेह,मधुमेह,मधुमेह
Cholesterol,कोलेस्ट्रॉल,कोलेस्ट्रॉल,स्तरीक
Anemia,रक्ताल्पता,रक्ताल्पता,रक्तहानि
Vitamin,विटामिन,व्हिटॅमिन,विटामिन
Mineral,खनिज,खनिज,अयस्क
Calcium,कैल्शियम,कॅल्शियम,स्निग्धधातु
Iron,लोह,लोह,लौह
Sodium,सोडियम,सोडियम,सोडियम
Potassium,पोटेशियम,पोटॅशियम,पोटाश
Hydration,हाइड्रेशन,हायड्रेशन,जलंकरण
Dehydration,निर्जलीकरण,निर्जलीकरण,शुष्कता
Nutrition,पोषण,पोषण,आहार
Diet,आहार,आहार,आहार
Exercise,व्यायाम,व्यायाम,व्यायाम
Weight,वजन,वजन,भार
BMI,बीएमआई,बीएमआय,शरीर सूचकांक
Obesity,मोटापा,अतिवजन,स्थूलता
Sleep,नींद,झोप,निद्रा
Stress,तनाव,तणाव,मानसिकदबाव
Mental Health,मानसिक स्वास्थ्य,मानसिक आरोग्य,मानसिकस्वास्थ्य
Depression,अवसाद,निराशा,अवसाद
Anxiety,चिंता,चिंता,चिंता
Blood Test,रक्त परीक्षण,रक्त तपासणी,रक्तपरीक्षण
X-ray,एक्स-रे,एक्स-रे,अस्थिपरीक्षण
MRI,एमआरआई,एमआरआय,स्नायुपरीक्षण
CT Scan,सीटी स्कैन,सीटी स्कॅन,कंप्यूटरीकृत तपास
Ultrasound,अल्ट्रासाउंड,अल्ट्रासाऊंड,अध्वनितापरीक्षण
